word,predicted_word,x,y,width,height
public,public,12.0,35.0,69.0,24.0
void,void,86.0,35.0,48.0,20.0
createServerChooser(),createServerchooser(),141.0,35.0,230.0,24.0
,unknown_0,379.0,35.0,15.0,24.0
MainMenuBar,MainMenuBar,54.0,62.0,124.0,20.0
mainMenuBar,mainMenuBar,184.0,62.0,123.0,20.0
=,=,313.0,62.0,16.0,13.0
MainMenuBar.getInstance();,getInstance();,335.0,62.0,283.0,24.0
int,int,54.0,116.0,37.0,20.0
nodeId,nodeId,98.0,116.0,69.0,20.0
=,=,173.0,116.0,16.0,13.0
-----------,dbMgr,195.0,116.0,186.0,24.0
dbMgr.getNodeId((,getNodeId((,195.0,116.0,186.0,24.0
String,string,389.0,116.0,69.0,24.0
-----------,unknown_1,467.0,116.0,12.0,24.0
-----------,cbNE,486.0,116.0,262.0,24.0
cbNE.getSelectedItem());,getselectedItem());,486.0,116.0,262.0,24.0
DownloadFileChooser,DownloadFilechooser,55.0,170.0,209.0,20.0
downloadFile,downloadFile,270.0,170.0,135.0,20.0
=,=,411.0,170.0,16.0,13.0
new,new,433.0,170.0,38.0,17.0
DownloadFileChooser(,DownloadFilechooser(,476.0,170.0,218.0,24.0
"nodeId,","nodeId,",703.0,170.0,76.0,23.0
-----------,DBDatadesc,789.0,170.0,239.0,22.0
-----------,SHELF,789.0,170.0,239.0,22.0
-----------,"OLT1,",789.0,170.0,239.0,22.0
"tfFileName,",tfFileName,12.0,197.0,119.0,23.0
tfFileNameOnly,tfFileNameonly,141.0,197.0,156.0,24.0
);,);,305.0,197.0,21.0,24.0
mainMenuBar,mainMenuBar,54.0,251.0,262.0,24.0
-----------,putcommand(,54.0,251.0,262.0,24.0
Object,Object,324.0,251.0,69.0,24.0
-----------,unknown_2,402.0,251.0,12.0,24.0
downloadFile,downloadFile,422.0,251.0,134.0,20.0
);,);,564.0,251.0,22.0,24.0
downloadFile.setViewId(,downloadFile.setViewId(,54.0,278.0,251.0,24.0
mainMenuBar,mainMenuBar,313.0,278.0,252.0,24.0
mainMenuBar.getViewId(),getViewId(),313.0,278.0,252.0,24.0
);,);,575.0,278.0,21.0,24.0
downloadFile.setVisible(,downloadFilesetvisible,54.0,305.0,262.0,24.0
true,true,325.0,305.0,48.0,19.0
);,);,381.0,305.0,21.0,24.0
-----------,unknown_3,11.0,332.0,15.0,24.0
,,,,,
